	pid	text	explanation	target_of_sarcasm
180	848032861026492417	'well heathrow is a popular destination right now '	heathrow is not a popular destination right now.	popularity of heathrow
181	934221664975540230	'# woky # christmas tree looking wonderful around all the road works # wokingham  # christmaslights # christmastree emoji_509 emoji_156 emoji_410'	all the road works is reducing the charm of the christmas tree.	road work
182	254872583368865648_193103068	Finally we are on the road!! Dont you love it when getting ready to go takes longer than the actual trip! #rain #roadtrip #fun #iceland #car #drive	it's annoying when getting ready to go takes longer than the actual trip.	getting ready for the trip
183	732985199940216428_1282055904	Random object + blank wall + deep and poetic-ish caption = Certified #vscocamersLulz. #parody #komiksengal #naabellahijabis #vscocam #villagepeople	Putting a picture of random object on a wall with some poetic stuff doesn’t make you certified	certification  of the object
184	909059594003131820_193158562	Because not enough people have posted pictures of today's beautiful sunset😏 #notaboutthesunset #thatreallywasbeautiful #beautiful #awesome #sunset #clouds #colorful #vivid #sky #street	the author is posting the picture even though enough people have posted pictures of today's beautiful sunset.	posting of today's beautiful sunset
185	874785258616614912	'so to make a parents life even harder there has to be different power cables for the two units . great job vtech  # parenting'	the author is frustrated with vtech since there are different power cables for the two units which makes a parent's life even harder.	vtechs design for having diiferent power cables for two units
186	938167363526184963	don 't buy # bitcoin people ! it is in a # bubble ! it has topped ! just look at the chart ! it is insane ! # btc $ btc (  , # buybitcoin )	people should buy bitcoin, it isn't in a bubble.	not buying bitcoin
187	971947467271336258_444795795	Yeah it wasn't dirty at all he definitely didn't do it on purpose #BsPlay	it was completely dirty, he definitely did it on purpose.	playing dirty
188	698451152560648192	# trumptrain # amylindsay # waronwomen how dare she gets a job where she 's not naked ! ! ! ! ! ! ! (  )	the author is pissed at people who cannot digest women getting jobs that they deserve, these misogynists only accept women at jobs where they are naked.	misogynists who cannot accept women getting job they deserve
189	926535881103695872	'hot and muggy . perfect football weather ... '	hot and muggy isn't a perfect football weather.	hot and muggy weather
190	910999965857611778	'oh wow we did vote to leave the single market .  # bbcqt # bbctw'	they didn't vote to leave the single market.	vote to leave the single market
191	811789396310362220_323570129	Look at all the stuff I've packed so far! 😑 #MovingOut #packing #EmptyBox #ILeaveInFourDays #IShouldReallyStart #ugh #procrastination #LeavingTheNest #SanDiego #HereICome #IfIEverGetPacked #lol	the author hasn't packed anything so far.	packed nothing
192	699820596146925569	'yay ... thanks # transportnsw # sydneybuses are just fantastic '	the author doesn't like sydney buses since they are late.	delay of sydney buses
193	940344973005869057	some idiot set off a smoke bomb in times square ... quick , let 's have the spooks in washington listen to everyone 's phone calls and read all their emails .  # constitution # 4a # privacy # fisa # nsa # cia # totalitarian # orwell # sec702 # mediahype # warrantless # search # revolution	some idiot setting off a smoke bomb in times square doesn't mean the spooks in washington should listen to everyone's phone calls and read all their emails.	listening to everyone's phone calls and read all their mails
194	820452966071173123	'thanks <user> for my steak doubledilla and my $ . 39 side of sour cream ... '	the author isn't satisfied with <user>'s steak doubledilla and side of sour cream.	<user> for bad food
195	727569820007452676	'tell me about it . fortunately  we have # government . '	even with a government there is such a huge debt showing people are irresponsible.	debt of government
196	883663535414300672	'the little dark spots along this field drive indicate that it rained here last night . whoo hoo ! ! ! !  # kearneycodrought17 continues'	along this field drive there's no indication that it rained here last night.	dark spots on field due to no rain
197	702232216055713793	'thanks <user> this is just what i wanted when watching one of arsenals biggest games # afcvfcb '	the author is pissed at <user> for such disturbance while watching one of arsenals biggest games.	disturbance in the screen
198	847289236969607168	'i love losing matches before they finish loading <user> '	nobody loves losing matches even before they finish loading.	losing matches
199	925531575265185792	'<user> check it out . oh wait this is someone the left wants to stay in the states . great ad btw . '	it's an awful ad if it leads to such a disaster.	ad leading to disaster
200	850392319937400834	'not that much work left in the semester . '	the author has a lot of work left in the semester.	large work left
201	872433011668639744	jack ( ie ) is back ! * obviously the same one 'cause there 's no way a coyote ate it . plus there 's only <num> bunny ever living out here * 	it doesn't necessarily have to be jack, it's not that there's only one bunny living out there.	bunny being jack
202	835261169682247681	'folding napkins at work is the best ! ! !  emoji_177'	the author doesn't enjoy folding napkins at work.	folding napkins
203	718637314264711169	'perfect flying weather in april # flying  # weather emoji_82'	terrible weather for flying in april, it's raining.	rainy weather
204	700330765683462144	'<user> great parking by one of your guys !  # inconsiderate # illegal # totaljoke # taxi # cardiff'	the author is pissed at <user> for such a bad parking by one of their guys.	bad parking
205	867371767517597697	"'yeah , the problem with the us economy is definitely "" entitlements "" for the poor .  # resist # trumpbudget # trumpcuts'"	"the problem with the us economy isn't ""entitlements"" for the poor, the chiefs rake in 347 times more than the average worker's salary."	high salary of the chiefs
206	923614852999872512	'<user> love coming home from the drive thru to find barely cooked half raw and cold fries  # gross got large too . ick'	the author hates coming home from the drive thru to find barely cooked half raw and cold fries.	bad fries
207	828935728067444737	'ahhh nice to see that # cigarette was a necessary staple  # war # history # funfact'	cigarette shouldn't be a necessary staple.	cigarette being a staple
208	1024264119023257066_2001370976	Unicorns are real. #myth #fakeituntilyoumakeit #ufo #dinosaur #love #aintgottimeforthat #instalike #sorrynotsorry #funnypictures #fun #laugh #sarcasm #sarcastic #funnypics #lol #lolz #laugh #lmfao #nikkitcb #funday #errryday	love is real and not the unicorns.	love being real
209	1016240727124822010_2001370976	Born to be mild. #relationshipgoals #theyseemerollin #ridingdirty #getitgranny #lesbian #lesbiansofinstagram #restingbitchface #aintgottimeforthat #meme #instalike #sorrynotsorry #funny #funnypictures #fun #laugh #sarcasm #sarcastic #funnypics #lol #lmao #lolz #laugh #lmfao #nikkitcb #funday #errryday	such a response to the question isn't mild.	mild response
